Dial,ISO3166-1-Alpha-2,ALPHA SUPPORT
1,CA,no
1,PR,no
1,US,no
1242,BS,yes
1246,BB,yes
1264,AI,yes
1268,AG,yes
1284,VG,yes
1345,KY,no
1441,BM,yes
1473,GD,yes
1649,TC,yes
1664,MS,yes
1671,GU,no
1758,LC,yes
1767,DM,yes
1784,VC,yes
1809,DO,no
1829,DO,no
1849,DO,no
1868,TT,yes
1869,KN,yes
1876,JM,yes
20,EG,yes
211,SS,yes
212,MA,no
213,DZ,no
216,TN,no
218,LY,yes
220,GM,yes
221,SN,yes
222,MR,yes
223,ML,no
224,GN,yes
225,CI,yes
226,BF,yes
227,NE,yes
228,TG,yes
229,BJ,yes
230,MU,yes
231,LR,yes
232,SL,yes
233,GH,no
234,NG,yes
235,TD,yes
236,CF,yes
237,CM,yes
238,CV,yes
239,ST,yes
240,GQ,yes
241,GA,yes
242,CG,no
243,CD,no
244,AO,yes
245,GW,yes
246,IO,no
248,SC,yes
249,SD,yes
250,RW,yes
252,SO,yes
253,DJ,yes
254,KE,no
255,TZ,yes
256,UG,yes
257,BI,yes
258,MZ,no
260,ZM,yes
261,MG,yes
262,RE,yes
262,YT,yes
263,ZW,yes
264,,no
265,MW,yes
266,LS,yes
267,BW,yes
268,SZ,yes
269,KM,yes
27,ZA,no
297,AW,yes
298,FO,yes
299,GL,yes
30,GR,yes
31,NL,yes
32,BE,no
33,FR,yes
34,ES,yes
350,GI,yes
351,PT,yes
352,LU,yes
353,IE,yes
354,IS,yes
355,AL,yes
356,MT,yes
357,CY,yes
358,FI,yes
359,BG,yes
36,HU,no
370,LT,yes
371,LV,yes
372,EE,yes
373,MD,yes
374,AM,yes
375,BY,yes
376,AD,yes
377,MC,no
378,SM,yes
380,UA,yes
381 p,RS,yes
382,ME,yes
385,HR,no
386,SI,yes
387,BA,yes
389,MK,yes
39,IT,yes
40,RO,no
41,CH,yes
420,CZ,yes
421,SK,yes
423,LI,yes
43,AT,yes
44,GB,yes
44,GG,yes
44,IM,yes
44,JE,yes
45,DK,yes
46,SE,yes
47,NO,yes
48,PL,yes
49,DE,yes
500,FK,yes
501,BZ,yes
502,GT,no
503,SV,no
504,HN,no
505,NI,no
506,CR,no
507,PA,no
509,HT,yes
51,PE,partial
52,MX,no
53,CU,yes
54,AR,no
55,BR,no
56,CL,no
57,CO,no
58,VE,no
590,GP,yes
591,BO,yes
592,GY,yes
593,EC,no
594,GF,no
595,PY,yes
596,MQ,yes
597,SR,yes
598,UY,no
599,BQ,yes
60,MY,no
61,AU,yes
62,ID,yes
63,PH,yes
64,NZ,no
65,SG,yes
66,TH,yes
670,TL,yes
672,NF,yes
673,BN,yes
674,NR,no
675,PG,yes
676,TO,yes
677,SB,yes
678,VU,yes
679,FJ,yes
682,CK,yes
685,WS,yes
687,NC,yes
689,PF,yes
7,KZ,no
7,RU,yes
81,JP,partial
82,KR,no
84,VN,no
852,HK,yes
853,MO,yes
855,KH,yes
856,LA,no
86,CN,no
880,BD,no
886,TW,no
90,TR,no
91,IN,yes
92,PK,no
93,AF,no
94,LK,no
95,MM,no
960,MV,yes
961,LB,yes
962,JO,yes
963,SY,no
964,IQ,no
965,KW,no
966,SA,yes
967,YE,yes
968,OM,yes
970,PS,partial
971,AE,yes
972,IL,yes
973,BH,yes
974,QA,no
975,BT,yes
976,MN,yes
977,NP,no
98,IR,no
992,TJ,yes
993,TM,yes
994,AZ,no
995,GE,yes
996,KG,no
998,UZ,yes
