COUNTRY,ALPHA SUPPORT
Afghanistan,No
Albania,Yes
Algeria,No
Andorra,Yes
Angola,Yes
Anguilla,Yes
Antigua & Barbuda,Yes
Argentina,No
Armenia,Yes
Aruba,Yes
Australia,Yes
Austria,Yes
Azerbaijan,No
Bahamas,Yes
Bahrain,Yes
Bangladesh,No
Barbados,Yes
Belarus,Yes
Belgium,No
Belize,Yes
Benin,Yes
Bermuda,Yes
Bhutan,Yes
Bolivia,Yes
Bosnia & Herzegovina,Yes
Botswana,Yes
Brazil,No
Brunei Darussalam,Yes
Bulgaria,Yes
Burkina Faso,Yes
Burundi,Yes
Cambodia,Yes
Cameroon,Yes
Canada,No
Cape Verde,Yes
Cayman Islands,No
Central African Republic,Yes
Chad,Yes
Chile,No
China*,No
Colombia,No
Comoros,Yes
Congo,No
Congo D.R.,No
Cook Islands,Yes
Costa Rica,No
Croatia,No
Cuba,Yes
Cyprus,Yes
Czech Republic,Yes
Denmark,Yes
Diego Garcia,No
Djibouti,Yes
Dominica,Yes
Dominican Republic,No
Ecuador,No
Egypt,Yes
El Salvador,No
Equatorial Guinea,Yes
Estonia,Yes
Falkland Islands,Yes
Faroe Islands,Yes
Fiji,Yes
Finland,Yes
France,Yes
French Guiana,No
French Polynesia,Yes
Gabon,Yes
Gambia,Yes
Georgia,Yes
Germany,Yes
Ghana,No
Gibraltar,Yes
Greece,Yes
Greenland,Yes
Grenada,Yes
Guadeloupe,Yes
Guam,No
Guatemala,No
Guernsey,Yes
Guinea,Yes
Guinea-Bissau,Yes
Guyana,Yes
Haiti,Yes
Honduras,No
Hong Kong,Yes
Hungary,No
Iceland,Yes
India,Yes
Indonesia,Yes
Iran,No
Iraq,No
Ireland,Yes
Isle of Man,Yes
Israel,Yes
Italy,Yes
Cote dIvoire,Yes
Jamaica,Yes
Japan,Yes (except for KDDI)
Jersey,Yes
Jordan,Yes
Kazakhstan,No
Kenya,No
Kuwait,No
Kyrgyzstan,No
Laos PDR,No
Latvia,Yes
Lebanon,Yes
Lesotho,Yes
Liberia,Yes
Libya,Yes
Liechtenstein,Yes
Lithuania,Yes
Luxembourg,Yes
Macau,Yes
Macedonia,Yes
Madagascar,Yes
Malawi,Yes
Malaysia,No
Maldives,Yes
Mali,No
Malta,Yes
Martinique,Yes
Mauritania,Yes
Mauritius,Yes
Mayotte,Yes
Mexico,No
Moldova,Yes
Monaco,No
Mongolia,Yes
Montenegro,Yes
Montserrat,Yes
Morocco,No
Mozambique,No
Myanmar,No
Namibia,No
Nauru,No
Nepal,No
Netherlands,Yes
Netherlands Antilles,Yes
New Caledonia,Yes
New Zealand,No
Nicaragua,No
Niger,Yes
Nigeria,Yes
Norfolk Island,Yes
Norway,Yes
Oman,Yes
Pakistan,No
Palestinian Territory,Yes only for Jawwal Palestine
Panama,No
Papua New Guinea,Yes
Paraguay,Yes
Peru,Yes (except for Claro) 
Philippines,Yes
Poland,Yes
Portugal,Yes
Puerto Rico,No
Qatar,No
Reunion,Yes
Romania,No
Russia,Yes
Rwanda,Yes
Samoa,Yes
San Marino,Yes
Sao Tome & Principe,Yes
Saudi Arabia,Yes
Senegal,Yes
Serbia,Yes
Seychelles,Yes
Sierra Leone,Yes
Singapore,Yes
Slovakia,Yes
Slovenia,Yes
Solomon Islands,Yes
Somalia,Yes
South Africa,No
South Korea,No
South Sudan,Yes
Spain,Yes
Sri Lanka,No
St Kitts & Nevis,Yes
St Lucia,Yes
St Vincent & the Grenadines,Yes
Sudan,Yes
Suriname,Yes
Swaziland,Yes
Sweden,Yes
Switzerland,Yes
Syria,No
Taiwan,No
Tajikistan,Yes
Tanzania,Yes
Thailand,Yes
Timor-Leste,Yes
Togo,Yes
Tonga,Yes
Trinidad & Tobago,Yes
Tunisia,No
Turkey,No
Turkmenistan,Yes
Turks & Caicos Islands,Yes
Uganda,Yes
Ukraine,Yes
United Arab Emirates,Yes
United Kingdom,Yes
United States,No
Uruguay,No
Uzbekistan,Yes
Vanuatu,Yes
Venezuela,No
Vietnam,No
Virgin Islands British,Yes
Yemen,Yes
Zambia,Yes
Zimbabwe,Yes
