COUNTRY,alias,ISO3166-1-Alpha-2
Bosnia & Herzegovina,Bosnia,BA
Brunei Darussalam,Brunei,BN
China*,China,CN
Congo,Congo - Brazzaville,CG
Congo D.R.,Congo - Kinshasa,CD
Diego Garcia,British Indian Ocean Territory,IO
Cote dIvoire,Côte d’Ivoire,CI
Laos PDR,Laos,LA
Netherlands Antilles,Caribbean Netherlands,BQ
Palestinian Territory,Palestine,PS
Reunion,Réunion,RE
Sao Tome & Principe,São Tomé & Príncipe,ST
St Kitts & Nevis,St. Kitts & Nevis,KN
St Lucia,St. Lucia,LC
St Vincent & the Grenadines,St. Vincent & Grenadines,VC
United Kingdom,UK,GB
United States,US,US
Virgin Islands British,British Virgin Islands,VG
